nanosEpoch,time,msuk,source,cbidPx,cbidSz,caskPx,caskSz,bidPx,bidSz,askPx,askSz,tradePx,tradeSz,channelId,seqNum,msgIdx
1565157926619355000,2019-08-07 06:05:26.619355,79889147,EUREX,82.041,101,82.101,103,82.041,101,82.101,103,0,0,0,597283,0
1565157926619866000,2019-08-07 06:05:26.619866,79889147,EUREX,81.643,100,81.643,92,81.643,100,81.643,92,0,0,0,597283,0
1565157926620392000,2019-08-07 06:05:26.620392,79889147,EUREX,82.208,118,82.208,97,82.208,118,82.208,97,0,0,0,597283,0
1565157926620881000,2019-08-07 06:05:26.620881,79889147,EUREX,82.625,101,82.635,108,82.625,101,82.635,108,0,0,0,597283,0
1565157926621380000,2019-08-07 06:05:26.621380,79889147,EUREX,82.02,99,82.03,92,82.02,99,82.03,92,0,0,0,597283,0
1565157926621876000,2019-08-07 06:05:26.621876,79889147,EUREX,79.941,110,80.001,106,79.941,110,80.001,106,0,0,0,597283,0
1565157926622363000,2019-08-07 06:05:26.622363,79889147,EUREX,79.898,96,79.898,101,79.898,96,79.898,101,0,0,0,597283,0
1565157926622871000,2019-08-07 06:05:26.622871,79889147,EUREX,78.294,98,78.294,107,78.294,98,78.294,107,0,0,0,597283,0
1565157926623356000,2019-08-07 06:05:26.623356,79889147,EUREX,78.242,108,78.242,102,78.242,108,78.242,102,0,0,0,597283,0
1565157926623850000,2019-08-07 06:05:26.623850,79889147,EUREX,78.119,107,78.119,97,78.119,107,78.119,97,0,0,0,597283,0
1565157926624371000,2019-08-07 06:05:26.624371,79889147,EUREX,78.215,85,78.215,100,78.215,85,78.215,100,0,0,0,597283,0
1565157926624870000,2019-08-07 06:05:26.624870,79889147,EUREX,78.699,105,78.699,98,78.699,105,78.699,98,0,0,0,597283,0
1565157926625385000,2019-08-07 06:05:26.625385,79889147,EUREX,80.531,97,80.531,101,80.531,97,80.531,101,0,0,0,597283,0
1565157926625916000,2019-08-07 06:05:26.625916,79889147,EUREX,79.671,91,79.671,99,79.671,91,79.671,99,0,0,0,597283,0
1565157926626436000,2019-08-07 06:05:26.626436,79889147,EUREX,78.63,96,78.63,111,78.63,96,78.63,111,0,0,0,597283,0
1565157926626930000,2019-08-07 06:05:26.626930,79889147,EUREX,80.39,97,80.39,107,80.39,97,80.39,107,0,0,0,597283,0
1565157926627457000,2019-08-07 06:05:26.627457,79889147,EUREX,79.39,105,79.43,94,79.39,105,79.43,94,0,0,0,597283,0
1565157926627951000,2019-08-07 06:05:26.627951,79889147,EUREX,79.409,96,79.409,100,79.409,96,79.409,100,0,0,0,597283,0
1565157926628456000,2019-08-07 06:05:26.628456,79889147,EUREX,79.883,94,79.883,90,79.883,94,79.883,90,0,0,0,597283,0
1565157926628967000,2019-08-07 06:05:26.628967,79889147,EUREX,79.83,105,79.83,95,79.83,105,79.83,95,0,0,0,597283,0
1565157926629482000,2019-08-07 06:05:26.629482,79889147,EUREX,80.14,106,80.23,105,80.14,106,80.23,105,0,0,0,597283,0
1565157926629956000,2019-08-07 06:05:26.629956,79889147,EUREX,79.285,94,79.285,95,79.285,94,79.285,95,0,0,0,597283,0
1565157926630460000,2019-08-07 06:05:26.630460,79889147,EUREX,78.01,103,78.01,108,78.01,103,78.01,108,0,0,0,597283,0
1565157926630975000,2019-08-07 06:05:26.630975,79889147,EUREX,76.602,99,76.61200000000001,103,76.602,99,76.61200000000001,103,0,0,0,597283,0
1565157926631478000,2019-08-07 06:05:26.631478,79889147,EUREX,77.641,111,77.73100000000001,101,77.641,111,77.73100000000001,101,0,0,0,597283,0
1565157926631986000,2019-08-07 06:05:26.631986,79889147,EUREX,77.16,100,77.28999999999999,98,77.16,100,77.28999999999999,98,0,0,0,597283,0
1565157926632493000,2019-08-07 06:05:26.632493,79889147,EUREX,75.765,89,75.785,96,75.765,89,75.785,96,0,0,0,597283,0
1565157926632996000,2019-08-07 06:05:26.632996,79889147,EUREX,77.517,101,77.53699999999999,102,77.517,101,77.53699999999999,102,0,0,0,597283,0
1565157926633479000,2019-08-07 06:05:26.633479,79889147,EUREX,76.714,90,76.754,100,76.714,90,76.754,100,0,0,0,597283,0
1565157926633966000,2019-08-07 06:05:26.633966,79889147,EUREX,77.494,110,77.514,112,77.494,110,77.514,112,0,0,0,597283,0
1565157926634452000,2019-08-07 06:05:26.634452,79889147,EUREX,76.906,111,76.936,91,76.906,111,76.936,91,0,0,0,597283,0
1565157926634943000,2019-08-07 06:05:26.634943,79889147,EUREX,77.519,91,77.519,106,77.519,91,77.519,106,0,0,0,597283,0
1565157926635435000,2019-08-07 06:05:26.635435,79889147,EUREX,78.269,101,78.269,111,78.269,101,78.269,111,0,0,0,597283,0
1565157926635901000,2019-08-07 06:05:26.635901,79889147,EUREX,78.51,101,78.53,95,78.51,101,78.53,95,0,0,0,597283,0
1565157926636365000,2019-08-07 06:05:26.636365,79889147,EUREX,77.064,100,77.074,85,77.064,100,77.074,85,0,0,0,597283,0
1565157926636860000,2019-08-07 06:05:26.636860,79889147,EUREX,76.416,101,76.43599999999999,113,76.416,101,76.43599999999999,113,0,0,0,597283,0
1565157926637367000,2019-08-07 06:05:26.637367,79889147,EUREX,75.87,105,75.87,82,75.87,105,75.87,82,0,0,0,597283,0
1565157926637876000,2019-08-07 06:05:26.637876,79889147,EUREX,75.766,105,75.77600000000001,114,75.766,105,75.77600000000001,114,0,0,0,597283,0
1565157926638374000,2019-08-07 06:05:26.638374,79889147,EUREX,75.261,91,75.381,106,75.261,91,75.381,106,0,0,0,597283,0
1565157926638902000,2019-08-07 06:05:26.638902,79889147,EUREX,75.401,82,75.401,95,75.401,82,75.401,95,0,0,0,597283,0
1565157926639407000,2019-08-07 06:05:26.639407,79889147,EUREX,74.687,112,74.687,94,74.687,112,74.687,94,0,0,0,597283,0
1565157926639895000,2019-08-07 06:05:26.639895,79889147,EUREX,75.351,109,75.351,88,75.351,109,75.351,88,0,0,0,597283,0
1565157926640392000,2019-08-07 06:05:26.640392,79889147,EUREX,75.08,106,75.08,100,75.08,106,75.08,100,0,0,0,597283,0
1565157926640916000,2019-08-07 06:05:26.640916,79889147,EUREX,74.798,92,74.798,91,74.798,92,74.798,91,0,0,0,597283,0
1565157926641426000,2019-08-07 06:05:26.641426,79889147,EUREX,74.323,96,74.43299999999999,98,74.323,96,74.43299999999999,98,0,0,0,597283,0
1565157926641932000,2019-08-07 06:05:26.641932,79889147,EUREX,74.841,106,74.871,105,74.841,106,74.871,105,0,0,0,597283,0
1565157926642430000,2019-08-07 06:05:26.642430,79889147,EUREX,74.743,108,74.753,106,74.743,108,74.753,106,0,0,0,597283,0
1565157926642919000,2019-08-07 06:05:26.642919,79889147,EUREX,75.128,90,75.158,100,75.128,90,75.158,100,0,0,0,597283,0
1565157926643406000,2019-08-07 06:05:26.643406,79889147,EUREX,74.755,92,74.755,91,74.755,92,74.755,91,0,0,0,597283,0
1565157926643920000,2019-08-07 06:05:26.643920,79889147,EUREX,75.24,100,75.24,95,75.24,100,75.24,95,0,0,0,597283,0
1565157926644440000,2019-08-07 06:05:26.644440,79889147,EUREX,75.889,98,76.109,89,75.889,98,76.109,89,0,0,0,597283,0
1565157926644943000,2019-08-07 06:05:26.644943,79889147,EUREX,77.706,113,77.706,96,77.706,113,77.706,96,0,0,0,597283,0
1565157926645434000,2019-08-07 06:05:26.645434,79889147,EUREX,77.791,102,77.801,96,77.791,102,77.801,96,0,0,0,597283,0
1565157926645928000,2019-08-07 06:05:26.645928,79889147,EUREX,77.012,99,77.022,102,77.012,99,77.022,102,0,0,0,597283,0
1565157926646441000,2019-08-07 06:05:26.646441,79889147,EUREX,76.54,99,76.54,99,76.54,99,76.54,99,0,0,0,597283,0
1565157926646924000,2019-08-07 06:05:26.646924,79889147,EUREX,75.04,93,75.04,85,75.04,93,75.04,85,0,0,0,597283,0
1565157926647392000,2019-08-07 06:05:26.647392,79889147,EUREX,76.097,107,76.107,107,76.097,107,76.107,107,0,0,0,597283,0
1565157926647911000,2019-08-07 06:05:26.647911,79889147,EUREX,75.987,107,75.987,98,75.987,107,75.987,98,0,0,0,597283,0
1565157926648390000,2019-08-07 06:05:26.648390,79889147,EUREX,76.215,97,76.22500000000001,105,76.215,97,76.22500000000001,105,0,0,0,597283,0
1565157926648894000,2019-08-07 06:05:26.648894,79889147,EUREX,76.065,94,76.075,110,76.065,94,76.075,110,0,0,0,597283,0
1565157926649385000,2019-08-07 06:05:26.649385,79889147,EUREX,76.322,99,76.322,90,76.322,99,76.322,90,0,0,0,597283,0
1565157926649885000,2019-08-07 06:05:26.649885,79889147,EUREX,77.356,103,77.356,111,77.356,103,77.356,111,0,0,0,597283,0
1565157926650399000,2019-08-07 06:05:26.650399,79889147,EUREX,77.498,82,77.498,93,77.498,82,77.498,93,0,0,0,597283,0
1565157926650912000,2019-08-07 06:05:26.650912,79889147,EUREX,77.176,107,77.176,95,77.176,107,77.176,95,0,0,0,597283,0
1565157926651426000,2019-08-07 06:05:26.651426,79889147,EUREX,76.802,95,76.902,85,76.802,95,76.902,85,0,0,0,597283,0
1565157926651943000,2019-08-07 06:05:26.651943,79889147,EUREX,75.33,107,75.39,105,75.33,107,75.39,105,0,0,0,597283,0
1565157926652443000,2019-08-07 06:05:26.652443,79889147,EUREX,76.28,108,76.28,95,76.28,108,76.28,95,0,0,0,597283,0
1565157926652934000,2019-08-07 06:05:26.652934,79889147,EUREX,76.594,99,76.594,103,76.594,99,76.594,103,0,0,0,597283,0
1565157926653419000,2019-08-07 06:05:26.653419,79889147,EUREX,78.006,98,78.006,89,78.006,98,78.006,89,0,0,0,597283,0
1565157926653917000,2019-08-07 06:05:26.653917,79889147,EUREX,78.087,103,78.087,110,78.087,103,78.087,110,0,0,0,597283,0
1565157926654418000,2019-08-07 06:05:26.654418,79889147,EUREX,78.454,104,78.564,100,78.454,104,78.564,100,0,0,0,597283,0
1565157926654924000,2019-08-07 06:05:26.654924,79889147,EUREX,78.976,109,78.976,107,78.976,109,78.976,107,0,0,0,597283,0
1565157926655426000,2019-08-07 06:05:26.655426,79889147,EUREX,78.693,100,78.693,99,78.693,100,78.693,99,0,0,0,597283,0
1565157926655920000,2019-08-07 06:05:26.655920,79889147,EUREX,77.276,95,77.286,102,77.276,95,77.286,102,0,0,0,597283,0
1565157926656403000,2019-08-07 06:05:26.656403,79889147,EUREX,76.587,102,76.657,104,76.587,102,76.657,104,0,0,0,597283,0
1565157926656893000,2019-08-07 06:05:26.656893,79889147,EUREX,77.95,97,77.95,110,77.95,97,77.95,110,0,0,0,597283,0
1565157926657374000,2019-08-07 06:05:26.657374,79889147,EUREX,78.595,102,78.605,100,78.595,102,78.605,100,0,0,0,597283,0
1565157926657875000,2019-08-07 06:05:26.657875,79889147,EUREX,78.334,109,78.34400000000001,109,78.334,109,78.34400000000001,109,0,0,0,597283,0
1565157926658395000,2019-08-07 06:05:26.658395,79889147,EUREX,78.07,94,78.07,119,78.07,94,78.07,119,0,0,0,597283,0
1565157926658885000,2019-08-07 06:05:26.658885,79889147,EUREX,78.134,93,78.294,98,78.134,93,78.294,98,0,0,0,597283,0
1565157926659394000,2019-08-07 06:05:26.659394,79889147,EUREX,77.892,106,77.892,109,77.892,106,77.892,109,0,0,0,597283,0
1565157926659897000,2019-08-07 06:05:26.659897,79889147,EUREX,76.846,101,76.85600000000001,120,76.846,101,76.85600000000001,120,0,0,0,597283,0
1565157926660383000,2019-08-07 06:05:26.660383,79889147,EUREX,77.269,98,77.349,102,77.269,98,77.349,102,0,0,0,597283,0
1565157926660889000,2019-08-07 06:05:26.660889,79889147,EUREX,77.883,104,77.883,91,77.883,104,77.883,91,0,0,0,597283,0
1565157926661399000,2019-08-07 06:05:26.661399,79889147,EUREX,78.039,102,78.049,103,78.039,102,78.049,103,0,0,0,597283,0
1565157926661873000,2019-08-07 06:05:26.661873,79889147,EUREX,78.741,91,78.741,96,78.741,91,78.741,96,0,0,0,597283,0
1565157926662360000,2019-08-07 06:05:26.662360,79889147,EUREX,79.394,103,79.394,91,79.394,103,79.394,91,0,0,0,597283,0
1565157926662877000,2019-08-07 06:05:26.662877,79889147,EUREX,79.454,92,79.454,81,79.454,92,79.454,81,0,0,0,597283,0
1565157926663376000,2019-08-07 06:05:26.663376,79889147,EUREX,78.627,96,78.627,98,78.627,96,78.627,98,0,0,0,597283,0
1565157926663883000,2019-08-07 06:05:26.663883,79889147,EUREX,80.383,106,80.383,107,80.383,106,80.383,107,0,0,0,597283,0
1565157926664394000,2019-08-07 06:05:26.664394,79889147,EUREX,81.739,96,81.739,96,81.739,96,81.739,96,0,0,0,597283,0
1565157926664892000,2019-08-07 06:05:26.664892,79889147,EUREX,81.785,101,81.91499999999999,101,81.785,101,81.91499999999999,101,0,0,0,597283,0
1565157926665384000,2019-08-07 06:05:26.665384,79889147,EUREX,81.601,107,81.651,105,81.601,107,81.651,105,0,0,0,597283,0
1565157926665906000,2019-08-07 06:05:26.665906,79889147,EUREX,80.905,94,80.905,108,80.905,94,80.905,108,0,0,0,597283,0
1565157926666413000,2019-08-07 06:05:26.666413,79889147,EUREX,81.659,97,81.659,105,81.659,97,81.659,105,0,0,0,597283,0
1565157926666921000,2019-08-07 06:05:26.666921,79889147,EUREX,82.624,104,82.64399999999999,109,82.624,104,82.64399999999999,109,0,0,0,597283,0
1565157926667452000,2019-08-07 06:05:26.667452,79889147,EUREX,81.571,87,81.571,110,81.571,87,81.571,110,0,0,0,597283,0
1565157926667946000,2019-08-07 06:05:26.667946,79889147,EUREX,80.714,93,80.714,92,80.714,93,80.714,92,0,0,0,597283,0
1565157926668428000,2019-08-07 06:05:26.668428,79889147,EUREX,82.057,92,82.107,85,82.057,92,82.107,85,0,0,0,597283,0
1565157926668897000,2019-08-07 06:05:26.668897,79889147,EUREX,83.302,90,83.432,89,83.302,90,83.432,89,0,0,0,597283,0
1565157926669385000,2019-08-07 06:05:26.669385,79889147,EUREX,82.691,98,82.691,111,82.691,98,82.691,111,0,0,0,597283,0
1565157926669884000,2019-08-07 06:05:26.669884,79889147,EUREX,83.327,98,83.327,106,83.327,98,83.327,106,0,0,0,597283,0
1565157926670363000,2019-08-07 06:05:26.670363,79889147,EUREX,82.695,97,82.695,94,82.695,97,82.695,94,0,0,0,597283,0
1565157926670891000,2019-08-07 06:05:26.670891,79889147,EUREX,81.638,97,81.64800000000001,113,81.638,97,81.64800000000001,113,0,0,0,597283,0
1565157926671386000,2019-08-07 06:05:26.671386,79889147,EUREX,80.965,95,80.985,103,80.965,95,80.985,103,0,0,0,597283,0
1565157926671879000,2019-08-07 06:05:26.671879,79889147,EUREX,80.278,115,80.278,109,80.278,115,80.278,109,0,0,0,597283,0
1565157926672382000,2019-08-07 06:05:26.672382,79889147,EUREX,79.745,104,79.745,96,79.745,104,79.745,96,0,0,0,597283,0
1565157926672913000,2019-08-07 06:05:26.672913,79889147,EUREX,79.728,98,79.728,103,79.728,98,79.728,103,0,0,0,597283,0
1565157926673421000,2019-08-07 06:05:26.673421,79889147,EUREX,80.518,107,80.518,111,80.518,107,80.518,111,0,0,0,597283,0
1565157926673924000,2019-08-07 06:05:26.673924,79889147,EUREX,79.752,99,79.752,113,79.752,99,79.752,113,0,0,0,597283,0
1565157926674442000,2019-08-07 06:05:26.674442,79889147,EUREX,81.201,97,81.291,108,81.201,97,81.291,108,0,0,0,597283,0
1565157926674939000,2019-08-07 06:05:26.674939,79889147,EUREX,81.273,88,81.273,94,81.273,88,81.273,94,0,0,0,597283,0
1565157926675433000,2019-08-07 06:05:26.675433,79889147,EUREX,81.826,102,81.826,101,81.826,102,81.826,101,0,0,0,597283,0
1565157926675932000,2019-08-07 06:05:26.675932,79889147,EUREX,81.57,100,81.57,106,81.57,100,81.57,106,0,0,0,597283,0
1565157926676445000,2019-08-07 06:05:26.676445,79889147,EUREX,81.571,93,81.591,96,81.571,93,81.591,96,0,0,0,597283,0
1565157926676941000,2019-08-07 06:05:26.676941,79889147,EUREX,80.862,110,80.862,95,80.862,110,80.862,95,0,0,0,597283,0
1565157926677432000,2019-08-07 06:05:26.677432,79889147,EUREX,81.261,101,81.31099999999999,87,81.261,101,81.31099999999999,87,0,0,0,597283,0
1565157926677942000,2019-08-07 06:05:26.677942,79889147,EUREX,80.086,91,80.136,100,80.086,91,80.136,100,0,0,0,597283,0
1565157926678426000,2019-08-07 06:05:26.678426,79889147,EUREX,79.542,97,79.542,91,79.542,97,79.542,91,0,0,0,597283,0
1565157926678913000,2019-08-07 06:05:26.678913,79889147,EUREX,79.187,109,79.187,107,79.187,109,79.187,107,0,0,0,597283,0
1565157926679426000,2019-08-07 06:05:26.679426,79889147,EUREX,79.624,94,79.624,97,79.624,94,79.624,97,0,0,0,597283,0
1565157926679921000,2019-08-07 06:05:26.679921,79889147,EUREX,78.134,103,78.134,100,78.134,103,78.134,100,0,0,0,597283,0
1565157926680414000,2019-08-07 06:05:26.680414,79889147,EUREX,77.868,103,77.868,102,77.868,103,77.868,102,0,0,0,597283,0
1565157926680943000,2019-08-07 06:05:26.680943,79889147,EUREX,79.928,96,79.958,100,79.928,96,79.958,100,0,0,0,597283,0
1565157926681392000,2019-08-07 06:05:26.681392,79889147,EUREX,79.563,96,79.563,97,79.563,96,79.563,97,0,0,0,597283,0
1565157926681883000,2019-08-07 06:05:26.681883,79889147,EUREX,78.978,105,78.978,98,78.978,105,78.978,98,0,0,0,597283,0
1565157926682395000,2019-08-07 06:05:26.682395,79889147,EUREX,79.961,103,79.961,102,79.961,103,79.961,102,0,0,0,597283,0
1565157926682895000,2019-08-07 06:05:26.682895,79889147,EUREX,81.063,102,81.063,111,81.063,102,81.063,111,0,0,0,597283,0
1565157926683397000,2019-08-07 06:05:26.683397,79889147,EUREX,82.085,101,82.235,107,82.085,101,82.235,107,0,0,0,597283,0
1565157926683893000,2019-08-07 06:05:26.683893,79889147,EUREX,81.416,99,81.416,95,81.416,99,81.416,95,0,0,0,597283,0
1565157926684424000,2019-08-07 06:05:26.684424,79889147,EUREX,80.612,97,80.642,109,80.612,97,80.642,109,0,0,0,597283,0
1565157926684932000,2019-08-07 06:05:26.684932,79889147,EUREX,80.965,96,80.965,99,80.965,96,80.965,99,0,0,0,597283,0
1565157926685452000,2019-08-07 06:05:26.685452,79889147,EUREX,81.917,97,81.917,96,81.917,97,81.917,96,0,0,0,597283,0
1565157926685963000,2019-08-07 06:05:26.685963,79889147,EUREX,83.064,103,83.094,97,83.064,103,83.094,97,0,0,0,597283,0
1565157926686472000,2019-08-07 06:05:26.686472,79889147,EUREX,82.805,82,82.915,107,82.805,82,82.915,107,0,0,0,597283,0
1565157926686979000,2019-08-07 06:05:26.686979,79889147,EUREX,85.018,97,85.018,99,85.018,97,85.018,99,0,0,0,597283,0
1565157926687491000,2019-08-07 06:05:26.687491,79889147,EUREX,85.363,83,85.383,113,85.363,83,85.383,113,0,0,0,597283,0
1565157926687996000,2019-08-07 06:05:26.687996,79889147,EUREX,84.854,101,84.864,91,84.854,101,84.864,91,0,0,0,597283,0
1565157926688501000,2019-08-07 06:05:26.688501,79889147,EUREX,85.088,95,85.088,89,85.088,95,85.088,89,0,0,0,597283,0
1565157926688972000,2019-08-07 06:05:26.688972,79889147,EUREX,83.975,80,83.975,108,83.975,80,83.975,108,0,0,0,597283,0
1565157926689471000,2019-08-07 06:05:26.689471,79889147,EUREX,82.421,94,82.421,98,82.421,94,82.421,98,0,0,0,597283,0
1565157926689978000,2019-08-07 06:05:26.689978,79889147,EUREX,81.69,102,81.81,102,81.69,102,81.81,102,0,0,0,597283,0
1565157926690482000,2019-08-07 06:05:26.690482,79889147,EUREX,81.471,108,81.48100000000001,99,81.471,108,81.48100000000001,99,0,0,0,597283,0
1565157926691006000,2019-08-07 06:05:26.691006,79889147,EUREX,81.092,101,81.092,97,81.092,101,81.092,97,0,0,0,597283,0
1565157926691505000,2019-08-07 06:05:26.691505,79889147,EUREX,82.241,97,82.241,97,82.241,97,82.241,97,0,0,0,597283,0
1565157926692009000,2019-08-07 06:05:26.692009,79889147,EUREX,82.417,92,82.447,105,82.417,92,82.447,105,0,0,0,597283,0
1565157926692495000,2019-08-07 06:05:26.692495,79889147,EUREX,83.727,90,83.727,102,83.727,90,83.727,102,0,0,0,597283,0
1565157926693017000,2019-08-07 06:05:26.693017,79889147,EUREX,83.487,108,83.487,107,83.487,108,83.487,107,0,0,0,597283,0
1565157926693495000,2019-08-07 06:05:26.693495,79889147,EUREX,84.281,94,84.281,100,84.281,94,84.281,100,0,0,0,597283,0
1565157926693985000,2019-08-07 06:05:26.693985,79889147,EUREX,84.527,93,84.597,102,84.527,93,84.597,102,0,0,0,597283,0
1565157926694481000,2019-08-07 06:05:26.694481,79889147,EUREX,83.701,107,83.81099999999999,105,83.701,107,83.81099999999999,105,0,0,0,597283,0
1565157926695005000,2019-08-07 06:05:26.695005,79889147,EUREX,83.723,103,83.743,99,83.723,103,83.743,99,0,0,0,597283,0
1565157926695476000,2019-08-07 06:05:26.695476,79889147,EUREX,83.228,97,83.228,95,83.228,97,83.228,95,0,0,0,597283,0
1565157926695979000,2019-08-07 06:05:26.695979,79889147,EUREX,83.048,115,83.048,103,83.048,115,83.048,103,0,0,0,597283,0
1565157926696455000,2019-08-07 06:05:26.696455,79889147,EUREX,82.695,102,82.91499999999999,88,82.695,102,82.91499999999999,88,0,0,0,597283,0
1565157926696977000,2019-08-07 06:05:26.696977,79889147,EUREX,82.835,101,82.835,107,82.835,101,82.835,107,0,0,0,597283,0
1565157926697475000,2019-08-07 06:05:26.697475,79889147,EUREX,83.841,103,83.841,107,83.841,103,83.841,107,0,0,0,597283,0
1565157926698008000,2019-08-07 06:05:26.698008,79889147,EUREX,85.332,109,85.332,91,85.332,109,85.332,91,0,0,0,597283,0
1565157926698495000,2019-08-07 06:05:26.698495,79889147,EUREX,85.866,99,85.876,108,85.866,99,85.876,108,0,0,0,597283,0
1565157926698995000,2019-08-07 06:05:26.698995,79889147,EUREX,85.572,104,85.572,95,85.572,104,85.572,95,0,0,0,597283,0
1565157926699501000,2019-08-07 06:05:26.699501,79889147,EUREX,85.02,80,85.02,100,85.02,80,85.02,100,0,0,0,597283,0
1565157926699993000,2019-08-07 06:05:26.699993,79889147,EUREX,84.684,104,84.684,107,84.684,104,84.684,107,0,0,0,597283,0
